jfreechart-ts-statement-orig-order-results.txt
Number of Inconsistent Tests Found: 0
Number of additional tests: 0
Number of Tests Missing: 1946
                                                                                                                  Original order result:        Test order result:
org.jfree.chart.labels.junit.StandardXYSeriesLabelGeneratorTests.testCloning:                                     PASS
org.jfree.chart.plot.junit.XYPlotTests.testCloning_QuadrantOrigin:                                                PASS
org.jfree.chart.annotations.junit.XYTextAnnotationTests.testSerialization:                                        PASS
org.jfree.chart.util.junit.LineUtilitiesTests.testClipLine:                                                       PASS
org.jfree.data.junit.DefaultKeyedValues2DTests.testRemoveValueBug1690654:                                         PASS
org.jfree.chart.title.junit.ImageTitleTests.testCloning:                                                          PASS
org.jfree.data.general.junit.DefaultHeatMapDatasetTests.testGeneral:                                              PASS
org.jfree.chart.plot.junit.PiePlot3DTests.testEquals:                                                             PASS
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testFindDomainBounds:                               PASS
org.jfree.data.time.junit.MillisecondTests.testGetFirstMillisecondWithCalendar:                                   PASS
org.jfree.chart.axis.junit.AxisLocationTests.testHashCode:                                                        PASS
org.jfree.data.time.junit.WeekTests.testGetFirstMillisecondWithTimeZone:                                          PASS
org.jfree.data.time.junit.WeekTests.testW1Y1900Next:                                                              PASS
org.jfree.chart.plot.junit.XYPlotTests.testBug2817504:                                                            PASS
org.jfree.chart.junit.BarChart3DTests.testSetSeriesURLGenerator:                                                  PASS
org.jfree.data.time.junit.DayTests.testGetEnd:                                                                    PASS
org.jfree.chart.renderer.junit.AbstractRendererTests.testSetShape:                                                PASS
org.jfree.chart.junit.LegendItemCollectionTests.testEquals:                                                       PASS
org.jfree.data.xy.junit.XYSeriesCollectionTests.testPublicCloneable:                                              PASS
org.jfree.data.statistics.junit.HistogramBinTests.testSerialization:                                              PASS
org.jfree.data.general.junit.DefaultKeyedValues2DDatasetTests.testSerialization:                                  PASS
org.jfree.chart.renderer.junit.AreaRendererEndTypeTests.testEquals:                                               PASS
org.jfree.data.time.junit.DayTests.testSerialization:                                                             PASS
org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.testCloning_LegendItemToolTipGenerator: PASS
org.jfree.chart.renderer.xy.junit.XYErrorRendererTests.testFindRangeBounds:                                       PASS
org.jfree.chart.renderer.xy.junit.XYBlockRendererTests.testFindDomainBounds:                                      PASS
org.jfree.data.junit.ComparableObjectSeriesTests.testEquals:                                                      PASS
org.jfree.chart.renderer.category.junit.StackedBarRendererTests.testSerialization:                                PASS
org.jfree.chart.plot.dial.junit.StandardDialFrameTests.testEquals:                                                PASS
org.jfree.chart.renderer.junit.GrayPaintScaleTests.testEquals:                                                    PASS
org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testHashcode:                                          PASS
org.jfree.data.junit.DefaultKeyedValuesTests.testRemoveValue:                                                     PASS
org.jfree.chart.renderer.xy.junit.StandardXYBarPainterTests.testHashcode:                                         PASS
org.jfree.chart.needle.junit.WindNeedleTests.testEquals:                                                          PASS
org.jfree.data.time.junit.YearTests.testHashcode:                                                                 PASS
org.jfree.data.xy.junit.DefaultXYZDatasetTests.testCloning:                                                       PASS
org.jfree.data.time.ohlc.junit.OHLCSeriesCollectionTests.testSerialization:                                       PASS
org.jfree.chart.renderer.xy.junit.WindItemRendererTests.testPublicCloneable:                                      PASS
org.jfree.chart.needle.junit.ArrowNeedleTests.testSerialization:                                                  PASS
org.jfree.data.xy.junit.DefaultIntervalXYDatasetTests.testAddSeries:                                              PASS
org.jfree.chart.needle.junit.WindNeedleTests.testSerialization:                                                   PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindMinimumDomainValue:                                    PASS
org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests.testCloning:                                              PASS
